Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,61.406250,62.625000,61.171875,61.593750,38.561134,2556800
1996-01-08,61.812500,62.062500,59.640625,60.234375,37.710094,2286700
1996-01-15,60.250000,61.421875,59.859375,61.265625,38.355701,1611800
1996-01-22,61.218750,62.265625,61.109375,62.234375,38.962204,3181600
1996-01-29,62.187500,64.015625,62.140625,63.640625,39.842598,1895000
1996-02-05,63.531250,66.375000,63.437500,65.828125,41.212090,3513200
1996-02-12,65.953125,66.687500,64.734375,64.937500,40.654507,3599400
1996-02-19,64.437500,66.609375,63.875000,65.937500,41.280567,3078100
1996-02-26,65.750000,65.890625,63.609375,64.890625,40.625160,5242200
1996-03-04,65.031250,65.968750,62.000000,63.500000,39.754551,4503400
1996-03-11,63.250000,64.812500,62.906250,64.125000,40.145832,5510800
1996-03-18,64.718750,65.937500,64.578125,65.156250,40.972630,3515500
1996-03-25,65.750000,65.812500,64.375000,64.687500,40.677868,4040400
1996-04-01,65.000000,65.718750,64.796875,65.515625,41.198631,2635100
1996-04-08,63.875000,64.640625,62.125000,63.718750,40.068665,6024900
1996-04-15,64.046875,64.859375,63.843750,64.531250,40.579605,3142900
1996-04-22,65.125000,65.812500,64.593750,65.437500,41.149483,2792100
1996-04-29,65.156250,65.796875,63.750000,64.312500,40.442055,3595100
1996-05-06,64.562500,65.593750,63.078125,65.375000,41.110184,4442800
1996-05-13,65.531250,67.312500,65.468750,67.187500,42.249962,2908000
1996-05-20,67.656250,68.437500,66.984375,68.171875,42.868965,3986300
1996-05-27,68.375000,68.375000,66.750000,66.875000,42.053444,2925300
1996-06-03,66.890625,68.500000,66.187500,67.625000,42.525063,3504300
1996-06-10,67.531250,68.031250,66.718750,66.937500,42.092731,5328300
1996-06-17,66.968750,67.218750,66.187500,66.812500,42.014145,4178800
1996-06-24,66.968750,67.500000,66.156250,67.109375,42.424419,3860400
1996-07-01,67.281250,67.703125,65.375000,65.578125,41.456417,2011900
1996-07-08,65.625000,65.984375,63.875000,64.562500,40.814404,5690000
1996-07-15,64.718750,64.718750,60.375000,63.968750,40.439034,10081300
1996-07-22,63.531250,63.937500,61.625000,63.718750,40.280991,7095100
1996-07-29,63.625000,66.593750,62.937500,66.562500,42.078732,6200300
1996-08-05,66.578125,66.765625,65.796875,66.218750,41.861416,3841900
1996-08-12,66.250000,66.875000,66.000000,66.843750,42.256531,3210900
1996-08-19,66.859375,67.343750,66.375000,66.859375,42.266392,2690400
1996-08-26,66.703125,67.000000,65.125000,65.328125,41.298382,3582800
1996-09-02,64.468750,66.750000,64.375000,65.937500,41.683613,4133700
1996-09-09,66.187500,68.625000,66.078125,68.562500,43.343056,4824700
1996-09-16,68.656250,69.156250,68.218750,68.640625,43.392429,3408800
1996-09-23,68.468750,69.250000,68.156250,68.687500,43.645557,4270700
1996-09-30,68.781250,70.343750,68.437500,70.343750,44.697971,2844900
1996-10-07,70.312500,70.687500,69.375000,70.312500,44.678101,3043600
1996-10-14,70.312500,71.312500,69.937500,71.218750,45.253948,3056900
1996-10-21,71.281250,71.625000,70.125000,70.312500,44.678101,3411600
1996-10-28,70.375000,71.156250,69.703125,70.593750,44.856815,3834300
1996-11-04,70.687500,73.437500,70.531250,73.421875,46.653873,6839400
1996-11-11,73.250000,74.500000,73.015625,74.031250,47.041077,4667400
1996-11-18,74.171875,75.250000,73.734375,75.171875,47.765839,4895600
1996-11-25,75.250000,76.687500,75.078125,76.015625,48.302006,6866000
1996-12-02,75.921875,76.578125,72.656250,74.312500,47.219807,10593000
1996-12-09,74.687500,75.671875,72.406250,73.312500,46.584354,9262600
1996-12-16,73.500000,75.718750,71.875000,74.843750,47.557358,9333600
1996-12-23,75.093750,76.031250,74.328125,75.875000,48.449581,3691400
1996-12-30,76.125000,76.125000,72.750000,75.093750,47.950695,6227300
1997-01-06,75.093750,76.250000,74.125000,76.125000,48.609211,7900500
1997-01-13,76.500000,77.750000,75.640625,77.562500,49.527100,7972100
1997-01-20,77.750000,79.687500,76.750000,76.750000,49.008289,10654400
1997-01-27,76.875000,79.406250,76.000000,78.406250,50.065884,12941600
1997-02-03,78.718750,79.468750,77.125000,79.218750,50.584713,8468600
1997-02-10,79.250000,81.562500,78.125000,81.187500,51.841858,8227400
1997-02-17,81.343750,82.000000,80.140625,80.375000,51.323013,4519500
1997-02-24,79.968750,81.531250,79.062500,79.156250,50.544827,8813300
1997-03-03,78.750000,81.156250,78.687500,80.843750,51.622334,7331700
1997-03-10,80.937500,81.796875,79.062500,79.687500,50.884018,6911900
1997-03-17,79.250000,80.109375,77.875000,78.437500,50.085850,10494800
1997-03-24,78.500000,79.968750,76.156250,77.000000,49.356220,8505200
1997-03-31,76.906250,77.125000,74.156250,75.843750,48.615082,16145200
1997-04-07,76.187500,77.046875,73.375000,73.375000,47.032646,13090200
1997-04-14,73.734375,77.000000,73.312500,76.562500,49.075779,12110300
1997-04-21,76.750000,78.281250,75.468750,76.531250,49.055752,12368200
1997-04-28,76.500000,81.671875,76.375000,81.437500,52.200600,11833900
1997-05-05,81.656250,83.562500,81.187500,82.625000,52.961800,13166400
1997-05-12,82.937500,84.593750,82.875000,83.218750,53.342381,9143300
1997-05-19,83.312500,85.218750,82.750000,84.781250,54.343933,5892200
1997-05-26,84.375000,85.562500,83.125000,85.156250,54.584305,5673700
1997-06-02,85.343750,86.437500,84.078125,86.375000,55.365498,6796200
1997-06-09,86.437500,90.000000,86.343750,89.718750,57.508839,11120900
1997-06-16,89.750000,90.500000,88.937500,89.578125,57.418674,8247200
1997-06-23,89.406250,90.250000,87.343750,88.906250,57.209934,18783300
1997-06-30,88.906250,92.156250,87.875000,92.062500,59.240906,8634800
1997-07-07,92.375000,92.500000,90.031250,91.781250,59.059925,14276500
1997-07-14,91.890625,94.093750,91.062500,91.296875,58.748257,14547500
1997-07-21,91.281250,94.812500,90.687500,94.031250,60.507778,17775500
